X,Y,Z
86.262,103.621,0.2
86.262,103.621,0.2
87.069,103.177,0.2
87.069,103.177,0.2
87.912,102.806,0.2
87.912,102.806,0.2
88.812,102.5,0.2
88.812,102.5,0.2
89.329,102.35,0.2
89.329,102.35,0.2
90.224,102.132,0.2
90.224,102.132,0.2
91.134,101.992,0.2
91.134,101.992,0.2
92.089,101.932,0.2
92.089,101.932,0.2
93.214,101.913,0.2
93.214,101.913,0.2
142.146,101.914,0.2
142.146,101.914,0.2
142.827,101.924,0.2
142.827,101.924,0.2
143.746,101.978,0.2
143.746,101.978,0.2
144.657,102.111,0.2
144.657,102.111,0.2
145.283,102.25,0.2
145.283,102.25,0.2
145.806,102.383,0.2
145.806,102.383,0.2
146.688,102.648,0.2
146.688,102.648,0.2
147.543,102.989,0.2
147.543,102.989,0.2
148.366,103.403,0.2
148.366,103.403,0.2
149.149,103.887,0.2
149.149,103.887,0.2
149.887,104.437,0.2
149.887,104.437,0.2
150.529,105.004,0.2
150.529,105.004,0.2
150.915,105.374,0.2
150.915,105.374,0.2
151.551,106.039,0.2
151.551,106.039,0.2
152.128,106.757,0.2
152.128,106.757,0.2
152.639,107.522,0.2
152.639,107.522,0.2
153.083,108.329,0.2
153.083,108.329,0.2
153.454,109.172,0.2
153.454,109.172,0.2
153.76,110.072,0.2
153.76,110.072,0.2
153.91,110.589,0.2
153.91,110.589,0.2
154.128,111.484,0.2
154.128,111.484,0.2
154.268,112.394,0.2
154.268,112.394,0.2
154.328,113.349,0.2
154.328,113.349,0.2
154.347,114.474,0.2
154.347,114.474,0.2
154.346,120.843,0.2
154.346,120.843,0.2
154.336,121.56,0.2
154.336,121.56,0.2
154.283,122.479,0.2
154.283,122.479,0.2
154.151,123.39,0.2
154.151,123.39,0.2
154.009,124.029,0.2
154.009,124.029,0.2
153.876,124.551,0.2
153.876,124.551,0.2
153.61,125.433,0.2
153.61,125.433,0.2
153.269,126.288,0.2
153.269,126.288,0.2
152.854,127.11,0.2
152.854,127.11,0.2
152.37,127.893,0.2
152.37,127.893,0.2
151.82,128.631,0.2
151.82,128.631,0.2
151.256,129.269,0.2
151.256,129.269,0.2
150.886,129.655,0.2
150.886,129.655,0.2
150.221,130.291,0.2
150.221,130.291,0.2
149.503,130.868,0.2
149.503,130.868,0.2
148.738,131.379,0.2
148.738,131.379,0.2
147.931,131.823,0.2
147.931,131.823,0.2
147.088,132.194,0.2
147.088,132.194,0.2
146.188,132.5,0.2
146.188,132.5,0.2
145.671,132.65,0.2
145.671,132.65,0.2
144.776,132.868,0.2
144.776,132.868,0.2
143.866,133.008,0.2
143.866,133.008,0.2
142.911,133.068,0.2
142.911,133.068,0.2
141.786,133.087,0.2
141.786,133.087,0.2
92.854,133.086,0.2
92.854,133.086,0.2
92.173,133.076,0.2
92.173,133.076,0.2
91.254,133.022,0.2
91.254,133.022,0.2
90.343,132.889,0.2
90.343,132.889,0.2
89.717,132.75,0.2
89.717,132.75,0.2
89.194,132.617,0.2
89.194,132.617,0.2
88.312,132.352,0.2
88.312,132.352,0.2
87.457,132.011,0.2
87.457,132.011,0.2
86.634,131.597,0.2
86.634,131.597,0.2
85.851,131.113,0.2
85.851,131.113,0.2
85.113,130.563,0.2
85.113,130.563,0.2
84.471,129.996,0.2
84.471,129.996,0.2
84.085,129.626,0.2
84.085,129.626,0.2
83.449,128.961,0.2
83.449,128.961,0.2
82.872,128.243,0.2
82.872,128.243,0.2
82.361,127.478,0.2
82.361,127.478,0.2
81.917,126.671,0.2
81.917,126.671,0.2
81.546,125.828,0.2
81.546,125.828,0.2
81.24,124.928,0.2
81.24,124.928,0.2
81.09,124.411,0.2
81.09,124.411,0.2
80.872,123.516,0.2
80.872,123.516,0.2
80.732,122.606,0.2
80.732,122.606,0.2
80.672,121.651,0.2
80.672,121.651,0.2
80.653,120.526,0.2
80.653,120.526,0.2
80.654,114.09,0.2
80.654,114.09,0.2
80.664,113.428,0.2
80.664,113.428,0.2
80.718,112.509,0.2
80.718,112.509,0.2
80.851,111.598,0.2
80.851,111.598,0.2
80.991,110.971,0.2
80.991,110.971,0.2
81.124,110.449,0.2
81.124,110.449,0.2
81.39,109.567,0.2
81.39,109.567,0.2
81.731,108.712,0.2
81.731,108.712,0.2
82.146,107.89,0.2
82.146,107.89,0.2
82.63,107.107,0.2
82.63,107.107,0.2
83.18,106.369,0.2
83.18,106.369,0.2
83.744,105.731,0.2
83.744,105.731,0.2
84.114,105.345,0.2
84.114,105.345,0.2
84.779,104.709,0.2
84.779,104.709,0.2
85.056,104.998,0.2
85.056,104.998,0.2
85.761,104.435,0.2
85.761,104.435,0.2
86.514,103.936,0.2
86.514,103.936,0.2
87.308,103.506,0.2
87.308,103.506,0.2
88.137,103.147,0.2
88.137,103.147,0.2
88.924,102.884,0.2
88.924,102.884,0.2
